Sec,Freq,Temp,Cpus
1,1008,44,4
2,1008,44,4
3,1008,44,4
4,1008,44,4
5,1008,44,4
6,1008,45,4
7,1008,46,4
8,1008,45,4
9,1008,46,4
10,1008,46,4
11,1008,47,4
12,1008,47,4
13,1008,47,4
14,1008,47,4
15,1008,48,4
16,1008,48,4
17,1008,48,4
18,1008,48,4
19,1008,48,4
20,1008,48,4
21,1008,49,4
22,1008,49,4
23,1008,49,4
24,1008,49,4
25,1008,49,4
26,1008,49,4
27,1008,50,4
28,1008,50,4
29,1008,50,4
30,1008,49,4
31,1008,50,4
32,1008,50,4
33,1008,50,4
34,1008,50,4
35,1008,51,4
36,1008,51,4
37,1008,51,4
38,1008,50,4
39,1008,51,4
40,1008,51,4
41,1008,51,4
42,1008,51,4
43,1008,51,4
44,1008,51,4
45,1008,51,4
46,1008,51,4
47,1008,52,4
48,1008,51,4
49,1008,52,4
50,1008,52,4
51,1008,52,4
52,1008,52,4
53,1008,51,4
54,1008,52,4
55,1008,52,4
56,1008,52,4
57,1008,52,4
58,1008,52,4
59,1008,53,4
60,1008,52,4
61,1008,52,4
62,1008,53,4
63,1008,53,4
64,1008,53,4
65,1008,53,4
66,1008,53,4
67,1008,52,4
68,1008,52,4
69,1008,52,4
70,1008,52,4
71,1008,53,4
72,1008,53,4
73,1008,53,4
74,1008,54,4
75,1008,53,4
76,1008,53,4
77,1008,53,4
78,1008,54,4
79,1008,54,4
80,1008,53,4
81,1008,54,4
82,1008,54,4
83,1008,54,4
84,1008,54,4
85,1008,54,4
86,1008,54,4
87,1008,54,4
88,1008,54,4
89,1008,54,4
90,1008,53,4
91,1008,53,4
92,1008,53,4
93,1008,54,4
94,1008,54,4
95,1008,54,4
96,1008,55,4
97,1008,54,4
98,1008,55,4
99,1008,54,4
100,1008,55,4
101,1008,55,4
102,1008,55,4
103,1008,55,4
104,1008,55,4
105,1008,55,4
106,1008,55,4
107,1008,55,4
108,1008,55,4
109,1008,56,4
110,1008,55,4
111,1008,55,4
112,1008,55,4
113,1008,55,4
114,1008,55,4
115,1008,55,4
116,480,54,4
117,480,53,4
118,480,52,4
119,480,52,4
120,480,52,4
121,480,51,4
122,480,51,4
123,480,51,4
124,480,51,4
125,480,51,4
126,480,50,4
127,480,51,4
128,480,50,4
129,480,50,4
130,480,50,4
131,480,50,4
132,480,50,4
133,480,50,4
134,480,50,4
135,480,50,4
136,480,50,4
137,480,50,4
138,480,50,4
139,480,49,4
140,480,49,4
141,480,49,4
142,480,49,4
143,480,49,4
144,480,49,4
145,480,49,4
146,480,49,4
147,480,49,4
148,480,49,4
149,480,48,4
150,480,49,4
