Sec,Freq,Temp,Cpus
1,480,36,4
2,480,36,4
3,1008,37,4
4,1008,38,4
5,1008,38,4
6,1008,38,4
7,1008,39,4
8,1008,39,4
9,1008,39,4
10,1008,40,4
11,1008,40,4
12,1008,39,4
13,1008,39,4
14,1008,40,4
15,1008,40,4
16,1008,40,4
17,1008,41,4
18,1008,41,4
19,1008,41,4
20,1008,41,4
21,1008,42,4
22,1008,42,4
23,1008,42,4
24,1008,42,4
25,1008,42,4
26,1008,43,4
27,1008,43,4
28,1008,43,4
29,1008,43,4
30,1008,43,4
31,1008,43,4
32,1008,43,4
33,1008,44,4
34,1008,44,4
35,1008,44,4
36,1008,44,4
37,1008,44,4
38,1008,44,4
39,1008,44,4
40,1008,45,4
41,1008,44,4
42,1008,45,4
43,1008,44,4
44,1008,45,4
45,1008,45,4
46,1008,45,4
47,1008,45,4
48,1008,45,4
49,1008,45,4
50,1008,45,4
51,1008,46,4
52,1008,46,4
53,1008,46,4
54,1008,46,4
55,1008,46,4
56,1008,46,4
57,1008,46,4
58,1008,46,4
59,1008,46,4
60,1008,47,4
61,1008,46,4
62,1008,47,4
63,1008,47,4
64,1008,46,4
65,1008,45,4
66,720,46,4
67,720,46,4
68,1008,46,4
69,1008,47,4
70,1008,47,4
71,1008,47,4
72,1008,47,4
73,1008,47,4
74,1008,48,4
75,1008,47,4
76,1008,47,4
77,1008,48,4
78,1008,48,4
79,1008,48,4
80,1008,48,4
81,1008,48,4
82,1008,48,4
83,1008,49,4
84,1008,49,4
85,1008,48,4
86,1008,49,4
87,1008,49,4
88,1008,48,4
89,648,47,4
90,648,48,4
91,1008,48,4
92,1008,49,4
93,1008,49,4
94,1008,49,4
95,1008,49,4
96,1008,49,4
97,1008,49,4
98,1008,50,4
99,1008,49,4
100,1008,50,4
101,1008,49,4
102,1008,49,4
103,1008,50,4
104,1008,50,4
105,1008,50,4
106,1008,50,4
107,1008,50,4
108,1008,50,4
109,1008,50,4
110,1008,50,4
111,1008,50,4
112,1008,49,4
113,1008,50,4
114,1008,49,4
115,1008,48,4
116,1008,48,4
117,480,47,4
118,480,47,4
119,480,46,4
120,480,46,4
121,480,46,4
122,480,46,4
123,480,46,4
124,480,46,4
125,480,46,4
126,480,46,4
127,480,45,4
128,480,45,4
129,480,45,4
130,480,45,4
131,480,45,4
132,480,45,4
133,480,45,4
134,480,45,4
135,480,45,4
136,480,45,4
137,480,45,4
138,480,45,4
139,480,45,4
140,480,45,4
141,480,44,4
142,480,44,4
143,480,44,4
144,480,44,4
145,480,44,4
146,480,44,4
147,480,44,4
148,480,44,4
149,480,44,4
150,480,44,4
