Sec,Freq,Temp,Cpus
1,480,36,4
2,624,36,4
3,240,36,4
4,240,36,4
5,240,36,4
6,240,36,4
7,1008,37,4
8,1008,40,4
9,1008,40,4
10,1008,40,4
11,1008,41,4
12,1008,41,4
13,1008,41,4
14,1008,42,4
15,1008,42,4
16,1008,42,4
17,1008,42,4
18,1008,42,4
19,1008,43,4
20,1008,43,4
21,1008,43,4
22,1008,43,4
23,1008,44,4
24,1008,44,4
25,1008,44,4
26,1008,44,4
27,1008,45,4
28,1008,44,4
29,1008,45,4
30,1008,45,4
31,1008,45,4
32,1008,45,4
33,1008,45,4
34,1008,45,4
35,1008,45,4
36,1008,46,4
37,1008,46,4
38,1008,45,4
39,1008,46,4
40,1008,46,4
41,1008,46,4
42,1008,47,4
43,1008,47,4
44,1008,46,4
45,1008,46,4
46,1008,47,4
47,1008,47,4
48,1008,47,4
49,1008,47,4
50,1008,47,4
51,1008,47,4
52,1008,48,4
53,1008,48,4
54,1008,47,4
55,1008,47,4
56,1008,47,4
57,1008,47,4
58,1008,47,4
59,1008,47,4
60,1008,48,4
61,1008,48,4
62,1008,48,4
63,1008,48,4
64,1008,48,4
65,1008,48,4
66,1008,48,4
67,1008,47,4
68,120,44,4
69,1008,45,4
70,1008,47,4
71,1008,47,4
72,1008,47,4
73,1008,48,4
74,1008,48,4
75,1008,48,4
76,1008,48,4
77,1008,49,4
78,1008,48,4
79,1008,48,4
80,1008,48,4
81,1008,49,4
82,1008,49,4
83,1008,49,4
84,1008,49,4
85,1008,49,4
86,1008,49,4
87,1008,49,4
88,1008,49,4
89,1008,49,4
90,120,47,4
91,1008,47,4
92,1008,50,4
93,1008,51,4
94,1008,50,4
95,1008,51,4
96,1008,51,4
97,1008,51,4
98,1008,51,4
99,1008,51,4
100,1008,51,4
101,1008,51,4
102,1008,51,4
103,1008,51,4
104,1008,51,4
105,1008,52,4
106,1008,51,4
107,1008,52,4
108,1008,52,4
109,1008,52,4
110,1008,52,4
111,1008,52,4
112,1008,51,4
113,1008,51,4
114,120,50,4
115,120,46,4
116,120,46,4
117,120,45,4
118,120,45,4
119,120,44,4
120,120,44,4
121,120,44,4
122,120,43,4
123,120,43,4
124,120,43,4
125,120,43,4
126,120,43,4
127,120,43,4
128,120,43,4
129,120,42,4
130,120,42,4
131,120,42,4
132,120,42,4
133,120,42,4
134,120,42,4
135,120,42,4
136,120,42,4
137,120,42,4
138,120,42,4
139,120,42,4
140,120,42,4
141,120,42,4
142,120,42,4
143,120,42,4
144,120,42,4
145,120,41,4
146,120,41,4
147,120,42,4
148,120,41,4
149,120,41,4
150,120,41,4
